Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2018,Dec,63.7,60.9,1518368,1450701,67667,4.5
2019,Jan,63.9,61,1524671,1455672,68999,4.5
2019,Feb,64,61.1,1529558,1460711,68847,4.5
2019,Mar,64,61.2,1532659,1465634,67025,4.4
2019,Apr,64,61.3,1534364,1470507,63857,4.2
2019,May,63.9,61.4,1535456,1475161,60295,3.9
2019,Jun,63.8,61.5,1536954,1479463,57491,3.7
2019,Jul,63.8,61.5,1539584,1483347,56237,3.7
2019,Aug,63.9,61.5,1543567,1486905,56662,3.7
2019,Sep,64,61.6,1548847,1490624,58223,3.8
2019,Oct,64.1,61.6,1554200,1494334,59866,3.9
2019,Nov,64.1,61.7,1557632,1497511,60121,3.9
2019,Dec,64.1,61.6,1558067,1499069,58998,3.8
2020,Jan,63.9,61.5,1557061,1498319,58742,3.8
2020,Feb,63.8,61.3,1557556,1495176,62380,4
2020,Mar,63.4,58.4,1549483,1426039,123444,8
2020,Apr,58.2,41.6,1424442,1018117,406325,28.5
2020,May,55.6,42.6,1362621,1043396,319225,23.4
2020,Jun,60.6,49.4,1487179,1212146,275033,18.5
2020,Jul,61.4,51.1,1509304,1255208,254096,16.8
2020,Aug,61.4,52.3,1509581,1287179,222402,14.7
2020,Sep,61.8,53.4,1521245,1314409,206836,13.6
2020,Oct,61.5,54.1,1516600,1333401,183199,12.1
2020,Nov,61.5,54.6,1518249,1347817,170432,11.2
2020,Dec,61.6,55,1522404,1358304,164100,10.8
2021,Jan,61.5,55.2,1521871,1366383,155488,10.2
2021,Feb,61.5,55.5,1522506,1373549,148957,9.8
2021,Mar,61.4,55.7,1520768,1380648,140120,9.2
2021,Apr,61.2,55.9,1517479,1387207,130272,8.6
2021,May,60.9,56.1,1511383,1392756,118627,7.8
2021,Jun,60.6,56.2,1505986,1397365,108621,7.2
2021,Jul,60.2,56.3,1499187,1400892,98295,6.6
2021,Aug,59.9,56.3,1494247,1404189,90058,6
2021,Sep,59.7,56.4,1491008,1407253,83755,5.6
