ST,Year,Paid Licenses Holders,Resident Licenses,Non-Resident Licenses,Total Licenses,Gross Cost
NJ,1973,187249.00,234936.00,3824.00,238760.00,1659733.00
NJ,1974,184249.00,234348.00,3512.00,237860.00,1627432.00
NJ,1975,199230.00,255848.00,550.00,256398.00,1683369.00
NJ,1976,186551.00,286250.00,2587.00,288837.00,2064434.00
NJ,1977,168856.00,251807.00,1770.00,253577.00,2217544.00
NJ,1978,178115.00,275885.00,2394.00,278279.00,2420331.00
NJ,1979,173165.00,276715.00,2324.00,279039.00,2410852.00
NJ,1980,175299.00,237930.00,1565.00,239495.00,2324284.00
NJ,1981,144676.00,233090.00,1825.00,234915.00,2919188.00
NJ,1982,135127.00,235904.00,3868.00,239772.00,2965073.00
NJ,1983,131086.00,236896.00,2928.00,239824.00,3433659.00
NJ,1984,135649.00,263562.00,7417.00,270979.00,3971027.00
NJ,1985,132978.00,289652.00,7263.00,296915.00,3954730.00
NJ,1986,131905.00,290616.00,6330.00,296946.00,4194484.00
NJ,1987,131937.00,285762.00,7791.00,293553.00,4788855.00
NJ,1988,130114.00,291143.00,8716.00,299859.00,5043283.00
NJ,1989,128338.00,293757.00,11215.00,304972.00,5084245.00
NJ,1990,125715.00,294260.00,11688.00,305948.00,5133299.00
NJ,1991,125124.00,308069.00,13381.00,321450.00,5284632.00
NJ,1992,121277.00,307059.00,13505.00,320564.00,5898830.00
NJ,1993,118736.00,312438.00,13933.00,326371.00,5968566.00
NJ,1994,115187.00,310047.00,15311.00,325358.00,6429963.00
NJ,1995,112515.00,306509.00,14626.00,321135.00,6390380.00
NJ,1996,108315.00,309568.00,13666.00,323234.00,6501691.00
NJ,1997,105931.00,301630.00,15128.00,316758.00,6315756.00
NJ,1998,105202.00,300903.00,15639.00,316542.00,6357301.00
NJ,1999,89460.00,273377.00,8027.00,281404.00,6443337.00
NJ,2000,86685.00,234625.00,13728.00,248353.00,7784732.00
NJ,2001,86156.00,244952.00,14402.00,259354.00,7203783.00
NJ,2002,82814.00,282527.00,146678.00,429205.00,9148856.00
NJ,2003,81501.00,266914.00,136649.00,403563.00,7048188.00
NJ,2004,82814.00,282527.00,146678.00,429205.00,7133503.00
NJ,2005,81501.00,266914.00,136649.00,403563.00,7048188.00
NJ,2006,86588.00,268784.00,149305.00,418089.00,6877002.83
NJ,2007,82566.00,268906.00,146896.00,415802.00,6636457.00
NJ,2008,80246.00,273554.00,158161.00,431715.00,6703069.00
NJ,2009,80246.00,273554.00,158161.00,431715.00,6703069.00
NJ,2010,76398.00,304053.00,151013.00,455066.00,7778910.00
NJ,2011,79539.00,304286.00,139418.00,443704.00,7710953.00
NJ,2012,77584.00,305657.00,139227.00,444884.00,7966395.00
NJ,2013,77607.00,290020.00,78400.00,368420.00,8001660.00
NJ,2014,75699.00,268559.00,77168.00,345727.00,7374116.00
NJ,2015,74067.00,275473.00,78179.00,353652.00,7572966.00
NJ,2016,75006.00,286986.00,79639.00,366625.00,7892740.00
NJ,2017,75248.00,297225.00,117437.00,414662.00,7941106.00
NJ,2018,74794.00,303795.00,118442.00,422237.00,8128965.00
NJ,2019,73009.00,300067.00,110494.00,410561.00,8046783.00
NJ,2020,71300.00,283229.00,125139.00,408368.00,7629928.00
NJ,2021,68767.00,281220.00,121963.00,403183.00,7481628.00
NM,1970,110527.00,112233.00,14858.00,127091.00,1201868.00
NM,1971,118030.00,118308.00,19277.00,137585.00,1353149.00
NM,1972,123827.00,124375.00,23033.00,147408.00,1517024.00
NM,1973,141114.00,128749.00,23220.00,151969.00,1659625.00
NM,1974,149846.00,146929.00,27694.00,174623.00,1955902.00
NM,1975,147795.00,139411.00,16978.00,156389.00,1885072.00
NM,1976,134967.00,131044.00,16768.00,147812.00,1729317.00
NM,1977,149105.00,145740.00,21320.00,167060.00,2103126.00
NM,1978,115701.00,117108.00,14081.00,131189.00,2544567.00
NM,1979,133881.00,133840.00,15883.00,149723.00,3045300.00
NM,1980,144316.00,140813.00,18663.00,159476.00,3342989.00
NM,1981,148377.00,143419.00,17608.00,161027.00,3757108.00
NM,1982,153251.00,145815.00,19265.00,165080.00,3783405.00
NM,1983,149466.00,142509.00,19326.00,161835.00,3897221.00
NM,1984,137621.00,134541.00,14380.00,148921.00,4404490.00
NM,1985,143656.00,140308.00,16140.00,156448.00,4781944.00
NM,1986,151907.00,149099.00,16654.00,165753.00,4982975.00
NM,1987,148686.00,145947.00,17056.00,163003.00,5081438.00
NM,1988,145024.00,142631.00,17270.00,159901.00,5063739.00
NM,1989,147494.00,146558.00,18101.00,164659.00,5391045.00
NM,1990,138761.00,138030.00,14806.00,152836.00,4617224.00
NM,1991,136558.00,135999.00,15053.00,151052.00,4716951.00
NM,1992,92394.00,132968.00,19213.00,152181.00,5687201.00
NM,1993,112779.00,141837.00,17366.00,159203.00,6430559.00
NM,1994,112232.00,224392.00,31240.00,255632.00,7596344.00
NM,1995,113716.00,301422.00,47029.00,348451.00,8475000.00
NM,1996,97766.00,281102.00,42405.00,323507.00,8855759.00
NM,1997,106909.00,122779.00,20527.00,143306.00,10000000.00
NM,1998,115557.00,277595.00,47058.00,324653.00,11020000.00
NM,1999,103990.00,204735.00,36509.00,241244.00,10770000.00
NM,2000,109168.00,206200.00,35715.00,241915.00,10800000.00
NM,2001,111896.00,298162.00,55357.00,353519.00,11000000.00
NM,2002,111188.00,379489.00,81056.00,460545.00,13442596.00
NM,2003,109948.00,284052.00,54516.00,338568.00,13401961.00
NM,2004,111188.00,379489.00,81056.00,460545.00,13442596.00
NM,2005,109948.00,284052.00,54516.00,338568.00,13401961.00
NM,2006,103968.00,289234.00,49056.00,338290.00,8812445.83
NM,2007,105966.00,277339.00,47270.00,324609.00,8448884.70
NM,2008,96160.00,185947.00,26240.00,212187.00,11501009.57
NM,2009,94243.00,180270.00,51376.00,231646.00,14863403.95
NM,2010,100346.00,234694.00,61959.00,296653.00,14469466.00
NM,2011,102463.00,206116.00,61041.00,267157.00,14768524.00
NM,2012,96424.00,208959.00,60884.00,269843.00,14830083.00
NM,2013,97893.00,2603210.00,45620.00,2648830.00,18317305.00
NM,2014,95927.00,192345.00,57818.00,250163.00,14964852.00
NM,2015,97103.00,218338.00,84166.00,302504.00,15575117.00
NM,2016,99328.00,212572.00,141188.00,353760.00,15681992.00
NM,2017,103719.00,213709.00,109915.00,323624.00,15901542.00
NM,2018,107331.00,329423.00,112483.00,441906.00,16185652.00
NM,2019,106661.00,270158.00,85107.00,355265.00,15631620.00
NM,2020,110194.00,293830.00,93148.00,386978.00,16064100.00
NM,2021,110874.00,287829.00,112877.00,400706.00,16854266.00
NV,1970,62988.00,99811.00,8862.00,108673.00,759736.00
NV,1971,64276.00,100205.00,10359.00,110564.00,791675.00
NV,1972,65660.00,106243.00,10653.00,116896.00,824059.00
NV,1973,68667.00,115403.00,11316.00,126719.00,876226.00
NV,1974,68831.00,120646.00,10184.00,130830.00,1074563.00
NV,1975,66631.00,113968.00,10132.00,124100.00,1033788.00
NV,1976,59953.00,95763.00,7842.00,103605.00,1161064.00
NV,1977,48615.00,69925.00,4800.00,74725.00,843365.00
NV,1978,44653.00,70557.00,5409.00,75966.00,703107.00
NV,1979,49607.00,73361.00,6385.00,79746.00,788620.00
NV,1980,52236.00,94828.00,6174.00,101002.00,999563.00
NV,1981,54017.00,98987.00,6315.00,105302.00,1031551.00
NV,1982,74827.00,112008.00,8049.00,120057.00,1617980.00
NV,1983,55063.00,90428.00,5729.00,96157.00,1304068.00
NV,1984,57109.00,91585.00,6063.00,97648.00,1240934.00
NV,1985,56214.00,103274.00,7481.00,110755.00,1786878.00
NV,1986,59055.00,106561.00,11778.00,118339.00,2558646.00
NV,1987,59737.00,112927.00,8584.00,121511.00,2228386.00
NV,1988,60971.00,131366.00,14346.00,145712.00,2932891.00
NV,1989,157896.00,107271.00,11224.00,118495.00,2540732.00
NV,1990,53706.00,100424.00,6808.00,107232.00,2324119.00
NV,1991,52836.00,94166.00,6462.00,100628.00,2206828.00
NV,1992,51649.00,89413.00,5842.00,95255.00,2249946.00
NV,1993,51530.00,47416.00,4114.00,51530.00,1158303.00
NV,1994,52641.00,76655.00,8150.00,84805.00,1939358.00
NV,1995,55427.00,85567.00,8994.00,94561.00,2352192.00
NV,1996,55832.00,83805.00,9387.00,93192.00,2652053.00
NV,1997,55380.00,82646.00,8871.00,91517.00,2531627.00
NV,1998,57563.00,90669.00,11082.00,101751.00,2895752.00
NV,1999,59501.00,89515.00,11568.00,101083.00,2946538.00
NV,2000,60345.00,92323.00,12792.00,105115.00,3063841.00
NV,2001,61341.00,88581.00,13292.00,101873.00,3194562.00
NV,2002,61455.00,82713.00,12832.00,95545.00,3132369.00
NV,2003,60805.00,75909.00,14085.00,89994.00,3200053.00
NV,2004,61455.00,82713.00,12832.00,95545.00,3132369.00
NV,2005,60805.00,75909.00,14085.00,89994.00,3200053.00
NV,2006,58722.00,95176.00,15267.00,110443.00,4377639.00
NV,2007,60385.00,104056.00,16546.00,120602.00,6043700.00
NV,2008,64031.00,117058.00,18081.00,135139.00,6643830.00
NV,2009,64031.00,117058.00,18081.00,135139.00,6643830.00
NV,2010,65047.00,108446.00,19468.00,127914.00,5487441.00
NV,2011,63709.00,106174.00,20024.00,126198.00,5024711.00
NV,2012,64635.00,108201.00,22270.00,130471.00,5318325.00
NV,2013,64334.00,105892.00,22769.00,128661.00,5577120.00
NV,2014,65461.00,100011.00,29578.00,129589.00,5759792.00
NV,2015,65606.00,118502.00,25387.00,143889.00,6735261.00
NV,2016,66950.00,121417.00,25214.00,146631.00,7129981.00
NV,2017,67906.00,123184.00,25928.00,149112.00,7661532.00
NV,2018,68744.00,123271.00,26840.00,150111.00,7750384.00
NV,2019,69780.00,118703.00,27372.00,146075.00,7688479.00
NV,2020,69681.00,115329.00,27953.00,143282.00,7629934.00
NV,2021,89603.00,97387.00,28489.00,125876.00,7109383.00
NY,1970,758512.00,1303271.00,74658.00,1377929.00,4793083.00
NY,1971,756060.00,1298699.00,32715.00,1331414.00,4651324.00
NY,1972,662558.00,1151998.00,27538.00,1179536.00,4892439.00
NY,1973,652468.00,1161790.00,30053.00,1191843.00,5950083.00
NY,1974,740143.00,1341940.00,55320.00,1397260.00,6832282.00
NY,1975,775994.00,1433109.00,66885.00,1499994.00,7351780.00
NY,1976,768686.00,1392135.00,34497.00,1426632.00,8224480.00
NY,1977,746171.00,1338788.00,32064.00,1370852.00,7869427.00
NY,1978,729361.00,1280572.00,31162.00,1311734.00,7607047.00
NY,1979,738329.00,1093578.00,32552.00,1126130.00,7580739.00
NY,1980,741376.00,1085751.00,35060.00,1120811.00,7775383.00
NY,1981,769267.00,1162728.00,40851.00,1203579.00,8360208.00
NY,1982,784183.00,1226835.00,50031.00,1276866.00,9290184.00
NY,1983,791568.00,1291501.00,58451.00,1349952.00,13139470.00
NY,1984,807542.00,1257760.00,48440.00,1306200.00,12670687.00
NY,1985,803112.00,1289151.00,52034.00,1341185.00,12927238.00
NY,1986,789203.00,1218694.00,53775.00,1272469.00,12627843.00
NY,1987,773283.00,1288293.00,60689.00,1348982.00,13094134.00
NY,1988,763272.00,1428534.00,64143.00,1492677.00,14567439.00
NY,1989,757897.00,1457071.00,69311.00,1526382.00,14894909.00
NY,1990,737112.00,1325234.00,64421.00,1389655.00,14056172.00
NY,1991,728217.00,1420045.00,71708.00,1491753.00,14484815.00
NY,1992,771196.00,1446977.00,83893.00,1530870.00,17803384.00
NY,1993,758377.00,1484858.00,88156.00,1573014.00,17771069.00
NY,1994,750062.00,1571544.00,57181.00,1628725.00,18583475.00
NY,1995,721706.00,1388518.00,52757.00,1441275.00,17783432.00
NY,1996,724019.00,1318152.00,51647.00,1369799.00,17975613.00
NY,1997,709054.00,1509701.00,57617.00,1567318.00,17977644.00
NY,1998,693516.00,1457376.00,58112.00,1515488.00,17932136.00
NY,1999,698844.00,1605422.00,63852.00,1669274.00,18561868.00
NY,2000,695622.00,1688375.00,68007.00,1756382.00,19027929.00
NY,2001,694815.00,1703266.00,69263.00,1772529.00,19292001.00
NY,2002,696679.00,679458.00,74731.00,754189.00,18492555.00
NY,2003,641572.00,1373531.00,80698.00,1454229.00,20709350.00
NY,2004,696679.00,679458.00,74731.00,754189.00,18492555.00
NY,2005,641572.00,1373531.00,80698.00,1454229.00,20709350.00
NY,2006,627749.00,1297015.00,78902.00,1375917.00,20249675.00
NY,2007,573970.00,880449.00,56143.00,936592.00,19416047.00
NY,2008,611644.00,871046.00,51809.00,922855.00,18524524.00
NY,2009,594992.00,849362.00,51951.00,901313.00,18658617.00
NY,2010,597006.00,846500.00,52536.00,899036.00,18673805.00
NY,2011,676669.00,682624.00,50030.00,732654.00,27435282.00
NY,2012,592216.00,1024386.00,66801.00,1091187.00,24288887.71
NY,2013,581401.00,1010459.00,54788.00,1065247.00,23843504.57
NY,2014,576815.00,1034742.00,42883.00,1077625.00,25243987.00
NY,2015,535915.00,1073132.00,41772.00,1114904.00,27042363.00
NY,2016,544229.00,1023639.00,48167.00,1071806.00,15266035.00
NY,2017,572992.00,1081720.00,63411.00,1145131.00,19475327.00
NY,2018,579043.00,1117576.00,48773.00,1166349.00,21618296.00
NY,2019,564612.00,1366205.00,48657.00,1414862.00,24655400.00
NY,2020,556897.00,1341561.00,48388.00,1389949.00,24248161.00
NY,2021,550868.00,1343275.00,49018.00,1392293.00,24159303.00
OH,1970,540718.00,583517.00,2335.00,585852.00,2425904.00
OH,1971,565896.00,618221.00,2701.00,620922.00,2581930.00
OH,1972,597793.00,669362.00,3154.00,672516.00,2815262.00
OH,1973,551113.00,637493.00,3067.00,640560.00,2700756.00
OH,1974,601592.00,705860.00,3695.00,709555.00,3006688.00
OH,1975,596973.00,699714.00,2920.00,702634.00,3515739.00
OH,1976,584349.00,707250.00,2838.00,710088.00,3668576.00
OH,1977,594737.00,733377.00,3162.00,736539.00,3880085.00
OH,1978,558579.00,710619.00,3488.00,714107.00,3881271.00
OH,1979,571391.00,753882.00,3400.00,757282.00,4233887.00
OH,1980,488536.00,696332.00,4280.00,700612.00,5288173.00
OH,1981,478892.00,733949.00,5268.00,739217.00,5877717.00
OH,1982,475010.00,739554.00,6476.00,746030.00,6008285.00
OH,1983,491935.00,814335.00,8125.00,822460.00,6555783.00
OH,1984,464782.00,783653.00,7573.00,791226.00,6309247.00
OH,1985,472426.00,795631.00,9080.00,804711.00,6574719.00
OH,1986,466390.00,794509.00,9598.00,804107.00,6614173.00
OH,1987,461820.00,805508.00,11459.00,816967.00,6788392.00
OH,1988,462316.00,822547.00,6994.00,829541.00,7020849.00
OH,1989,497766.00,1014006.00,6867.00,1020873.00,7570067.00
OH,1990,491494.00,953041.00,7094.00,960135.00,9812395.00
OH,1991,499904.00,982587.00,7510.00,990097.00,9787750.00
OH,1992,533185.00,1024942.00,8143.00,1033085.00,10491683.00
OH,1993,527336.00,1145318.00,9468.00,1154786.00,12541300.00
OH,1994,534168.00,1109070.00,10114.00,1119184.00,12030641.00
OH,1995,539457.00,1129556.00,11012.00,1140568.00,17107308.00
OH,1996,538623.00,1145774.00,11927.00,1157701.00,23133753.00
OH,1997,528703.00,1180387.00,11751.00,1192138.00,22543970.00
OH,1998,535033.00,1251855.00,12862.00,1264717.00,16829073.00
OH,1999,519996.00,1191414.00,14232.00,1205646.00,15870785.00
OH,2000,448950.00,1060902.00,14740.00,1075642.00,16654003.00
OH,2001,422180.00,1015824.00,29254.00,1045078.00,15522370.00
OH,2002,426856.00,1068917.00,17723.00,1086640.00,16403653.00
OH,2003,425992.00,1108893.00,19949.00,1128842.00,17247929.00
OH,2004,426856.00,1068917.00,17723.00,1086640.00,16403653.00
OH,2005,425992.00,1108893.00,19949.00,1128842.00,17247929.00
OH,2006,442214.00,1136798.00,42717.00,1179515.00,17886738.00
OH,2007,431815.00,1061374.00,43243.00,1104617.00,20864113.00
OH,2008,420621.00,1074656.00,47265.00,1121921.00,21295630.00
OH,2009,400736.00,1108742.00,55292.00,1164034.00,22324409.00
OH,2010,395567.00,1022683.00,61594.00,1084277.00,21590929.00
OH,2011,408142.00,383689.00,33802.00,417491.00,10690698.00
OH,2012,413710.00,388412.00,35303.00,423715.00,10936089.00
OH,2013,405866.00,378018.00,38083.00,416101.00,11095058.00
OH,2014,400954.00,1068105.00,106042.00,1174147.00,23745236.00
OH,2015,404997.00,1047714.00,103801.00,1151515.00,23846473.00
OH,2016,404081.00,995674.00,103001.00,1098675.00,23397644.00
OH,2017,394598.00,937968.00,99873.00,1037841.00,22716669.00
OH,2018,390268.00,895099.00,100065.00,995164.00,22637955.00
OH,2019,376435.00,852411.00,103254.00,955665.00,22035180.00
OH,2020,361119.00,813949.00,104326.00,918275.00,21634294.00
OH,2021,346220.00,770492.00,99530.00,870022.00,22782306.00
OK,1970,232478.00,302456.00,5292.00,307748.00,1179807.00
OK,1971,271036.00,353078.00,6124.00,359202.00,1382641.00
OK,1972,224834.00,311022.00,4860.00,315882.00,1244710.00
OK,1973,248805.00,349903.00,6549.00,356452.00,1412810.00
OK,1974,266698.00,374351.00,7576.00,381927.00,1548792.00
OK,1975,269729.00,301229.00,8740.00,309969.00,1757592.00
OK,1976,251194.00,351316.00,7965.00,359281.00,1832242.00
OK,1977,267430.00,411177.00,5523.00,416700.00,2183344.00
OK,1978,279141.00,428866.00,5637.00,434503.00,2307114.00
OK,1979,287348.00,465137.00,5719.00,470856.00,2757636.00
OK,1980,301134.00,490258.00,6290.00,496548.00,2772306.00
OK,1981,316352.00,518436.00,6545.00,524981.00,4564625.00
OK,1982,291783.00,421667.00,5065.00,426732.00,3837952.00
OK,1983,312721.00,438617.00,6153.00,444770.00,3704441.00
OK,1984,377331.00,411896.00,7354.00,419250.00,3515341.00
OK,1985,269008.00,398341.00,8305.00,406646.00,4531374.00
OK,1986,232630.00,351681.00,6707.00,358388.00,4954678.00
OK,1987,254920.00,359350.00,8729.00,368079.00,6010952.00
OK,1988,253319.00,356551.00,9336.00,365887.00,5807121.00
OK,1989,252085.00,348169.00,9197.00,357366.00,5873225.00
OK,1990,247019.00,359170.00,8300.00,367470.00,6208819.00
OK,1991,259541.00,333185.00,8689.00,341874.00,6004690.00
OK,1992,275311.00,346388.00,8272.00,354660.00,6562315.00
OK,1993,273695.00,329160.00,9234.00,338394.00,4914604.00
OK,1994,282136.00,329576.00,8684.00,338260.00,5355001.00
OK,1995,268714.00,287952.00,7490.00,295442.00,9750284.00
OK,1996,272961.00,277629.00,8454.00,286083.00,5281646.00
OK,1997,275424.00,293058.00,7964.00,301022.00,6069839.00
OK,1998,286117.00,302248.00,10882.00,313130.00,6522923.00
OK,1999,296548.00,312796.00,10729.00,323525.00,7139770.00
OK,2000,306185.00,310845.00,11761.00,322606.00,7242936.00
OK,2001,327120.00,318455.00,13259.00,331714.00,6263357.00
OK,2002,330336.00,334251.00,14673.00,348924.00,7127336.00
OK,2003,331672.00,313181.00,15812.00,328993.00,7705971.50
OK,2004,330336.00,334251.00,14673.00,348924.00,7127335.75
OK,2005,331672.00,313181.00,15812.00,328993.00,7705971.50
OK,2006,341260.00,290249.00,17340.00,307589.00,7881077.38
OK,2007,341213.00,270667.00,17706.00,288373.00,7422958.75
OK,2008,345020.00,259085.00,18515.00,277600.00,7190647.75
OK,2009,362806.00,262180.00,19210.00,281390.00,8581915.00
OK,2010,356257.00,272870.00,19644.00,292514.00,8207442.50
OK,2011,379884.00,286633.00,19154.00,305787.00,8652811.00
OK,2012,386374.00,282444.00,18997.00,301441.00,8472936.00
OK,2013,381049.00,270030.00,19210.00,289240.00,8382917.00
OK,2014,400809.00,273978.00,16599.00,290577.00,8580769.00
OK,2015,419445.00,294230.00,17546.00,311776.00,9096601.00
OK,2016,421681.00,293678.00,18895.00,312573.00,9321041.00
OK,2017,431077.00,300302.00,21232.00,321534.00,9847047.00
OK,2018,529651.00,377498.00,22740.00,400238.00,9606348.00
OK,2019,541553.00,399528.00,24877.00,424405.00,9989176.00
OK,2020,558374.00,406555.00,27161.00,433716.00,9917076.00
OK,2021,512724.00,387930.00,27899.00,415829.00,10017373.00
OR,1970,630585.00,703998.00,8801.00,712799.00,3073621.00
OR,1971,352033.00,737568.00,11272.00,748840.00,3244769.00
OR,1972,348383.00,737810.00,12026.00,749836.00,3276946.00
OR,1973,355094.00,729529.00,9081.00,738610.00,3274185.00
OR,1974,369488.00,847996.00,10731.00,858727.00,3898743.00
OR,1975,355394.00,852451.00,11523.00,863974.00,3874917.00
OR,1976,326469.00,772867.00,10940.00,783807.00,3893555.00
OR,1977,328335.00,756035.00,6253.00,762288.00,5217983.00
OR,1978,372770.00,837660.00,9219.00,846879.00,6157622.00
OR,1979,402959.00,918651.00,12608.00,931259.00,6748689.00
OR,1980,394349.00,904309.00,13962.00,918271.00,6906373.00
OR,1981,415174.00,972397.00,15716.00,988113.00,7543558.00
OR,1982,405951.00,946366.00,18570.00,964936.00,7946504.00
OR,1983,378254.00,897455.00,33627.00,931082.00,7565302.00
OR,1984,356925.00,971655.00,17793.00,989448.00,7252473.00
OR,1985,353554.00,956607.00,30136.00,986743.00,9434577.00
OR,1986,355729.00,980370.00,21171.00,1001541.00,10750709.00
OR,1987,350402.00,937375.00,26443.00,963818.00,11204683.00
OR,1988,346914.00,910555.00,25889.00,936444.00,11373445.00
OR,1989,348694.00,922892.00,27757.00,950649.00,11204086.00
OR,1990,347819.00,999535.00,32284.00,1031819.00,11742298.00
OR,1991,327304.00,939125.00,25064.00,964189.00,10504231.00
OR,1992,319025.00,1042956.00,25841.00,1068797.00,14238391.00
OR,1993,315643.00,1051703.00,26723.00,1078426.00,14209129.00
OR,1994,302649.00,1009336.00,28192.00,1037528.00,15115358.00
OR,1995,307253.00,1334404.00,39590.00,1373994.00,15940258.00
OR,1996,317715.00,1263131.00,40489.00,1303620.00,15695985.00
OR,1997,317072.00,1282307.00,43898.00,1326205.00,15905880.00
OR,1998,318027.00,1322227.00,48912.00,1371139.00,16486393.00
OR,1999,318133.00,1399516.00,56495.00,1456011.00,16993574.00
OR,2000,310739.00,1319343.00,58855.00,1378198.00,19020649.00
OR,2001,303635.00,1297740.00,60672.00,1358412.00,18721595.00
OR,2002,297944.00,1344799.00,64439.00,1409238.00,18605194.00
OR,2003,295422.00,1314350.00,66817.00,1381167.00,18506490.00
OR,2004,297944.00,1344799.00,64439.00,1409238.00,18605194.00
OR,2005,295422.00,1314350.00,66817.00,1381167.00,18506490.00
OR,2006,283327.00,1267747.00,64147.00,1331894.00,21450509.00
OR,2007,279140.00,1264238.00,65100.00,1329338.00,21292414.00
OR,2008,279937.00,1254534.00,67735.00,1322269.00,21530321.00
OR,2009,279937.00,1254534.00,67735.00,1322269.00,21530321.00
OR,2010,279893.00,256945.00,22948.00,279893.00,21747044.00
OR,2011,283749.00,1251311.00,66853.00,1318164.00,22342697.00
OR,2012,282812.00,1223948.00,65982.00,1289930.00,21499518.00
OR,2013,260949.00,1207388.00,48051.00,1255439.00,25332873.00
OR,2014,256321.00,1191905.00,48250.00,1240155.00,24153180.00
OR,2015,264102.00,1243257.00,48173.00,1291430.00,25566159.00
OR,2016,259000.00,1207181.00,46775.00,1253956.00,24965471.00
OR,2017,262822.00,1186815.00,51865.00,1238680.00,26030168.00
OR,2018,264684.00,1173427.00,49243.00,1222670.00,26399473.00
OR,2019,335543.00,1263376.00,62274.00,1325650.00,28980854.00
OR,2020,326663.00,1227831.00,61943.00,1289774.00,28221918.00
OR,2021,328323.00,1250170.00,68043.00,1318213.00,28321288.00
PA,1970,1134316.00,1573129.00,109435.00,1682564.00,8444985.00
PA,1971,1166634.00,1573943.00,109779.00,1683722.00,8587242.00
PA,1972,1122399.00,1544848.00,70261.00,1615109.00,8508467.00
PA,1973,1141385.00,1545855.00,76503.00,1622358.00,11106557.00
PA,1974,1186499.00,1647136.00,87478.00,1734614.00,13086467.00
PA,1975,1245740.00,1748814.00,94825.00,1843639.00,14185508.00
PA,1976,1281323.00,1837286.00,101619.00,1938905.00,14795678.00
PA,1977,1281177.00,1856341.00,100450.00,1956791.00,14885431.00
PA,1978,1286248.00,1899007.00,101968.00,2000975.00,15063058.00
PA,1979,1279814.00,1829494.00,103557.00,1933051.00,14897767.00
PA,1980,1274763.00,1928082.00,96762.00,2024844.00,15727926.00
PA,1981,1301331.00,2002658.00,94029.00,2096687.00,16573772.00
PA,1982,1312403.00,2158926.00,110335.00,2269261.00,17216608.00
PA,1983,1313191.00,2083429.00,124490.00,2207919.00,14828523.00
PA,1984,1271634.00,2193468.00,104902.00,2298370.00,17422850.00
PA,1985,1222108.00,2065565.00,100862.00,2166427.00,16639057.00
PA,1986,1167837.00,2067213.00,85276.00,2152489.00,23611218.00
PA,1987,1173841.00,2078771.00,90783.00,2169554.00,24035936.00
PA,1988,1180175.00,2102108.00,120009.00,2222117.00,25168089.00
PA,1989,1174424.00,2221570.00,112020.00,2333590.00,26064845.00
PA,1990,1168137.00,2229960.00,122497.00,2352457.00,26163713.00
PA,1991,1170119.00,2381196.00,133664.00,2514860.00,27014200.00
PA,1992,1170602.00,2407866.00,129545.00,2537411.00,27525501.00
PA,1993,1173428.00,2295172.00,129575.00,2424747.00,26852582.00
PA,1994,1149426.00,2283749.00,128435.00,2412184.00,26421194.00
PA,1995,1138343.00,2311409.00,122148.00,2433557.00,26415516.00
PA,1996,1112964.00,2286733.00,121035.00,2407768.00,26096477.00
PA,1997,1091568.00,2472535.00,129559.00,2602094.00,26214612.00
PA,1998,1066032.00,2311373.00,120525.00,2431898.00,25038856.00
PA,1999,1071955.00,2391452.00,129104.00,2520556.00,25769926.00
PA,2000,1028297.00,2292915.00,117504.00,2410419.00,37214152.00
PA,2001,1034804.00,2413839.00,122055.00,2535894.00,38301549.00
PA,2002,1048731.00,2398471.00,122202.00,2520673.00,38783350.00
PA,2003,1017802.00,2660174.00,131249.00,2791423.00,39773564.00
PA,2004,1048731.00,2398471.00,122202.00,2520673.00,38783350.00
PA,2005,1017802.00,2660174.00,131249.00,2791423.00,39773564.00
PA,2006,1018664.00,2581408.00,137216.00,2718624.00,39877828.00
PA,2007,1006293.00,2688120.00,140078.00,2828198.00,40490306.00
PA,2008,981124.00,2498414.00,123913.00,2622327.00,38282675.00
PA,2009,943222.00,2444455.00,118305.00,2562760.00,36085947.00
PA,2010,925885.00,2423730.00,112646.00,2536376.00,36277899.00
PA,2011,927655.00,2420482.00,106103.00,2526585.00,36241937.00
PA,2012,970217.00,2560686.00,107863.00,2668549.00,39262421.00
PA,2013,968735.00,2329571.00,98315.00,2427886.00,37025397.00
PA,2014,964714.00,2564210.00,104732.00,2668942.00,36341882.00
PA,2015,969633.00,2538755.00,104188.00,2642943.00,36676090.00
PA,2016,980613.00,2559162.00,105211.00,2664373.00,37098180.00
PA,2017,984637.00,2279266.00,98959.00,2378225.00,37099197.00
PA,2018,975650.00,2468652.00,101278.00,2569930.00,36431816.00
PA,2019,956163.00,2526957.00,103431.00,2630388.00,37061112.00
PA,2020,930815.00,2537824.00,108896.00,2646720.00,36873199.00
PA,2021,945731.00,2299595.00,109096.00,2408691.00,37854162.00
PR,2009,250.00,243.00,7.00,250.00,6320.00
PR,2010,171.00,165.00,6.00,171.00,4485.00
PR,2011,171.00,165.00,6.00,171.00,4485.00
PR,2012,3671.00,10327.00,12.00,10339.00,330457.00
PR,2013,835.00,5248.00,18.00,5266.00,112980.00
PR,2014,4749.00,4742.00,7.00,4749.00,101235.00
PR,2015,5609.00,10195.00,16.00,10211.00,147463.00
PR,2016,4143.00,4140.00,3.00,4143.00,31035.00
PR,2017,5679.00,5673.00,6.00,5679.00,14762.00
PR,2018,5910.00,5902.00,8.00,5910.00,14624.00
PR,2019,5739.00,2975.00,9.00,2984.00,79700.00
PR,2020,5864.00,3638.00,9.00,3647.00,105700.00
