Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1949,-0.41,-0.19,0.61,-2.26,2.27,-0.89,-1.11,-0.66,-0.98,-0.66,-2.28,-2.07
1950,-0.13,-2.08,0.65,-1.42,-1.8,-0.63,-0.62,-0.74,1.54,0.27,1.65,0.71
1951,0.4,0.67,-0.67,-0.06,-0.52,-1.6,-1.17,0.24,-1.7,2.41,-0.21,2.89
1952,2.41,1.24,3.46,0.34,-0.22,2.38,2.84,-0.07,1.56,-2.84,-0.51,0.02
1953,-1.41,-1.7,-1.44,-0.85,2.9,1.79,0.39,0.25,-1.49,-0.63,-1.46,-1.15
1954,-1.56,-2.39,1.22,-1.63,-3.62,-0.71,-1.44,-0.78,-1.37,-1.87,-1.71,-0.92
1955,-1.26,-1.48,-1.18,0.7,-0.17,-1.38,-0.35,-1.05,0.34,-2.03,0.24,6.53
1956,4.75,0.37,-1.85,0.66,2.45,0.61,1.09,-0.78,-0.24,2.14,-1.86,-1.75
1957,-1.11,-1.2,0.16,0.12,2.9,-1.14,-1.04,-1.16,-0.13,3.5,1.19,-0.06
1958,-0.06,1.33,1.82,1.46,-1.14,3.2,1.61,1.58,-0.49,-2.28,-1.34,-2.84
1959,-2.29,-0.6,-2.55,-3.91,-0.46,-2.92,-1.97,-0.44,1.81,-1.79,-3.05,-1.91
1960,-1.34,1.21,-0.65,-1.18,-0.97,-2.76,-0.89,-0.26,-0.91,-1.43,3.02,-0.64
1961,-2.25,-0.98,0.07,-1.75,-1.12,-1.12,-0.92,2.83,0.91,-0.28,-0.31,-0.41
1962,-1.02,4.73,1.45,-1.77,2.78,0.25,0.11,-0.27,-1.1,3.47,-0.93,-1.77
1963,-0.97,-0.42,-0.63,3.51,1.9,3.69,0.56,-0.24,0.97,-0.61,1.14,-1.28
1964,-0.16,-2.03,-0.29,0.95,1.37,3.3,1.28,-0.59,-0.33,-1.67,0.8,5.59
1965,1.91,-1.38,-1.02,0.9,0.84,2.82,2.25,5.67,-0.21,-2.17,1.89,-0.19
1966,-2,-1.01,-2.03,-2.28,-3.11,-2.27,-1.64,-0.77,0.29,-2.07,0.73,2.01
1967,2.25,-1.97,1.03,4.06,0.18,3.63,2.8,-0.25,0.24,-1.38,-1.51,-1.52
1968,-1.86,-1.04,-2.19,-1.8,-1.7,-1.27,-1.9,4.63,-1.53,-0.83,2.69,1.3
1969,5.47,3.23,-0.37,-0.05,-1.11,3.23,0.81,-0.95,-1.44,2.16,-1.49,2.81
1970,3.64,-1.83,-0.56,0.71,-0.64,3.65,1.3,-0.5,-0.44,-0.52,2.6,2.34
1971,-0.43,-1.45,1.99,0.81,4.49,3.09,2.72,0.3,0.55,0.72,0.63,2.19
1972,-0.54,-0.62,-2.69,-1.41,-2.23,-0.64,-1.72,-0.94,1.53,2.09,1.54,0.25
1973,1.53,0.27,1.25,0.84,-0.27,-1.1,-0.9,-0.11,0.1,0.07,2.28,0.83
1974,0.14,-1.06,1.17,0.47,-2.42,-2.95,0.24,0.02,-1.73,1.43,-1.67,0.19
1975,-1.01,1.2,2.82,2.64,0.25,1.54,0.94,2.38,-0.17,2.9,-0.74,-1.87
1976,-1.98,-1.17,-0.59,-0.47,-3.5,-1.22,0.95,5.87,4.05,-0.88,-3.19,-3.18
1977,-2.16,-3.38,-1.82,-3.72,2.03,-0.28,-1.2,0.34,-0.08,-2.2,-0.19,1.51
