Year,County,N,H
2011,White Pine,532,83
2011,Clark,1155,510
2011,Esmeralda,711,88
2011,Lincoln,639,182
2011,Nye,3046,400
2012,Carson City,54.84630086,13.71157522
2012,Churchill,1374.585415,452.4819821
2012,Clark,342.7893804,459.3377697
2012,Douglas,116.5483893,54.84630086
2012,Elko,9053.067536,1384.869097
2012,Esmeralda,195.3899468,30.85104424
2012,Eureka,2378.9583,346.2172742
2012,Humboldt,15171.85798,1919.62053
2012,Lander,1816.783716,449.0540883
2012,Lincoln,178.2504778,205.6736282
2012,Lyon,699.290336,414.7751503
2012,Mineral,143.9715398,95.98102651
2012,Nye,503.9003892,315.36623
2012,Pershing,2742.315043,781.5597873
2012,Storey,78.84155749,30.85104424
2012,Washoe,9910.040987,2399.525663
2012,White Pine,263.9478229,116.5483893
2013,Carson City,47.77840139,143.3352042
2013,Churchill,1475.158143,585.285417
2013,Clark,591.2577172,734.5929214
2013,Douglas,191.1136056,137.362904
2013,Elko,9239.148369,1940.997556
2013,Esmeralda,23.88920069,65.69530191
2013,Eureka,1815.579253,453.8948132
2013,Humboldt,12959.89138,2520.310673
2013,Lander,1970.859057,591.2577172
2013,Lincoln,310.559609,215.0028063
2013,Lyon,513.6178149,471.8117137
2013,Mineral,65.69530191,65.69530191
2013,Nye,453.8948132,352.3657102
2013,Pershing,3876.022813,1003.346429
2013,Storey,101.529103,113.4737033
2013,Washoe,11072.64452,3087.67919
2013,White Pine,161.2521047,101.529103
2014,Carson City,125.1235764,148.584247
2014,Churchill,1587.505376,672.5392231
2014,Clark,539.5954232,586.5167644
2014,Douglas,289.3482704,117.3033529
2014,Elko,13591.54849,2502.471528
2014,Esmeralda,62.5617882,70.38201172
2014,Eureka,4379.325174,609.9774349
2014,Humboldt,23022.73806,3120.269186
2014,Lander,3511.280363,883.6852583
2014,Lincoln,218.9662587,148.584247
2014,Lyon,961.8874936,617.7976585
2014,Mineral,86.02245877,86.02245877
2014,Nye,304.9887175,359.7302821
2014,Pershing,5083.145291,1259.055988
2014,Storey,437.9325174,172.0449175
2014,Washoe,18502.64886,3831.909527
2014,White Pine,375.3707292,195.5055881
2015,Carson City,16.07004531,37.49677239
2015,Churchill,653.515176,267.8340885
2015,Clark,224.9806344,203.5539073
2015,Douglas,107.1336354,42.85345417
2015,Elko,9668.810596,1408.807306
2015,Esmeralda,107.1336354,53.56681771
2015,Eureka,1773.061666,273.1907703
2015,Humboldt,22455.20998,2255.163025
2015,Lander,1076.693036,326.757588
2015,Lincoln,112.4903172,96.42027187
2015,Lyon,337.4709516,192.8405437
2015,Mineral,16.07004531,21.42672708
2015,Nye,299.9741792,203.5539073
2015,Pershing,3122.945472,626.7317672
2015,Storey,10.71336354,32.14009062
2015,Washoe,18587.68574,2565.850568
2015,White Pine,417.8211781,112.4903172
2016,Carson City,92.47367562,35.2280669
2016,Churchill,3390.701439,532.8245119
2016,Clark,277.4210269,211.3684014
2016,Douglas,57.24560872,22.01754181
2016,Elko,6451.139752,1162.526208
2016,Esmeralda,233.3859432,70.45613381
2016,Eureka,1439.947235,211.3684014
2016,Humboldt,18111.6299,1955.157713
2016,Lander,2509.999767,317.0526021
2016,Lincoln,2976.771653,123.2982342
2016,Lyon,1030.420957,242.19296
2016,Mineral,237.7894516,66.05262544
2016,Nye,2250.192773,268.6140101
2016,Pershing,4711.753948,656.1227461
2016,Storey,431.5438196,101.2806923
2016,Washoe,31533.52339,2628.894493
2016,White Pine,114.4912174,61.64911708
2017,Carson City,52.49893004,38.18104003
2017,Churchill,2166.774022,615.6692705
2017,Clark,797.0292107,362.7198803
2017,Douglas,195.6778302,66.81682005
2017,Elko,10752.7354,1422.243741
2017,Esmeralda,152.7241601,81.13471007
2017,Eureka,2257.453992,257.7220202
2017,Humboldt,19324.37889,2376.769742
2017,Lander,3851.512413,544.0798204
2017,Lincoln,443.8545904,176.5873101
2017,Lyon,2906.531672,587.0334905
2017,Mineral,95.45260008,95.45260008
2017,Nye,1212.248021,291.1304302
2017,Pershing,4176.051253,830.4376207
2017,Storey,338.8567303,90.67997007
2017,Washoe,28134.65387,3651.061953
2017,White Pine,262.4946502,81.13471007
